ddate,timestamp,calculated_vix,market_vix,dte1,dte2,f1,f2,k0_1,k0_2,sigma1,sigma2,r1,r2,call_volume,put_volume,put_call_volume_ratio,call_oi,put_oi,put_call_oi_ratio,avg_call_iv,avg_put_iv,put_call_iv_ratio,otm_put_iv_skew,vix_diff,calc_time
2018-07-02,2024-12-22 14:12:09.540250,15.827243964292553,15.600000381469727,25,32,2727.546612800211,2727.645897460698,2730.0,2730.0,0.022392203284983342,0.024156141622242524,0.018910317541510353,0.018910317541510353,109894,127022,1.1558592825813967,351480,744813,2.1190764766131784,0.17600371155885472,0.22029681866383882,1.2516600741693604,1.4651444747333886,0.22724358282282608,1.4856548309326172
2018-07-03,2024-12-22 14:12:10.958817,16.430063368305774,16.139999389648438,24,31,2713.247659154391,2713.347190473061,2715.0,2715.0,0.02417126776924064,0.025757605894252886,0.019009374028492048,0.019009374028492048,20798,58056,2.791422252139629,363180,761369,2.0963957266369295,0.21875101171458997,0.21432843450479233,0.9797825976888834,1.4984738896449417,0.29006397865733646,1.4183423519134521
2018-07-05,2024-12-22 14:12:12.603612,15.112364059224904,14.970000267028809,29,36,2738.7981219215562,2737.9961546964405,2740.0,2740.0,0.021617474695496772,0.021728473079421193,0.018613118640599294,0.018613118640599294,20454,77907,3.8088882370196537,355619,667997,1.8784063843607905,0.17003800856531048,0.21408201284796574,1.259024465496126,1.443420610165129,0.14236379219609496,1.6445708274841309
2018-07-06,2024-12-22 14:12:13.992555,13.493514413061714,13.369999885559082,28,35,2762.546310478617,2761.803350859772,2765.0,2760.0,0.016988366563669276,0.017776807026108805,0.018514042525353637,0.018514042525353637,30756,65229,2.120854467420991,364205,707883,1.9436388846940598,0.21955847457627117,0.1970655720338983,0.8975539314263217,1.4793581841452839,0.12351452750263192,1.3887231349945068
2018-07-09,2024-12-22 14:12:15.378778,12.6729094978772,12.6899995803833,25,32,2787.4965980310462,2786.9032647720114,2785.0,2785.0,0.014469876380945936,0.01545106097615045,0.018613118640599294,0.018613118640599294,75516,94745,1.2546347793845014,211377,372159,1.7606409401212053,0.14334179487179488,0.20111371794871793,1.4030361356127454,1.3970167951338008,0.017090082506101112,1.3860080242156982
2018-07-10,2024-12-22 14:12:16.763695,12.677015550096257,12.640000343322754,24,31,2796.7022383907556,2796.101843711496,2795.0,2795.0,0.014272375673145075,0.0153495759156172,0.018712189848049957,0.018712189848049957,53243,77776,1.4607741862780084,189972,352534,1.8557155791379782,0.1817801778907243,0.19575146124523507,1.0768581234578256,1.4281151911371062,0.03701520677350345,1.3846933841705322
2018-07-11,2024-12-22 14:12:18.392074,13.677372164552978,13.630000114440918,30,37,2773.1970599533147,2772.504986943831,2775.0,2775.0,0.017722469304728396,0.01840623678460599,0.018811256148191385,0.018811256148191385,44024,108486,2.464246774486644,595916,1115542,1.8719786010108808,0.21848168238993712,0.22017169811320755,1.007735274210559,1.4205133823085934,0.04737205011205958,1.6281373500823975
2018-07-12,2024-12-22 14:12:19.821190,12.591314499960236,12.579999923706055,29,36,2797.9968365225354,2797.354533510067,2800.0,2795.0,0.014885578210620793,0.015788358600223547,0.018811256148191385,0.018811256148191385,89833,129290,1.439226119577438,514930,965246,1.8745188666420678,0.20156426618049225,0.21879617137648133,1.0854908735686246,1.3854570920879774,0.011314576254180864,1.4289133548736572
2018-07-13,2024-12-22 14:12:21.219470,12.221487138769495,12.180000305175781,28,35,2802.45370928044,2801.753251015836,2800.0,2800.0,0.013788383920614567,0.014993237650657498,0.018613118640599294,0.018613118640599294,120359,151558,1.2592161782666855,494521,989703,2.00133664697758,0.19396508226691042,0.22168427787934186,1.1429081734117885,1.3792489398884695,0.04148683359371397,1.398061752319336
2018-07-16,2024-12-22 14:12:22.862303,12.86117837038508,12.829999923706055,25,32,2796.0514516570524,2795.450785592632,2795.0,2795.0,0.015040532553195606,0.0158699783429801,0.018910317541510353,0.018910317541510353,41043,103870,2.5307604219964426,509111,1000393,1.9649801320340752,0.2157896614821592,0.22479478499542543,1.041731023865621,1.4224605899756322,0.03117844667902503,1.6426255702972412
